country_code,country,hdi,gdp_per_capita,mean_years_schooling,education_expenditure_pct_gdp,health_expenditure_per_capita,government_effectiveness,gii,region,income_level
GRD,Grenada,0.793,9406.19337643226,9.85796464,4.03767284869161,526.35113525,0.0385159365832806,,Latin America & Caribbean,Upper middle income
GTM,Guatemala,0.629,4385.14891178047,5.668648013,3.20823001861572,384.06158447,-0.907798588275909,0.474,Latin America & Caribbean,Upper middle income
GUY,Guyana,0.742,17365.3336428642,8.627408726,,452.23754883,-0.266314893960953,0.416,Latin America & Caribbean,High income
HND,Honduras,0.624,2482.22384904714,7.296200514,4.48280030802056,244.90408325,-0.86729633808136,0.413,Latin America & Caribbean,Lower middle income
HRV,Croatia,0.878,16618.1111874724,12.32871821,,1328.80371094,0.581313610076904,0.087,Europe & Central Asia,High income
HTI,Haiti,0.552,1256.72143592448,5.609468426,1.02689812206798,52.28417587,-2.22816133499146,0.621,Latin America & Caribbean,Lower middle income
HUN,Hungary,0.851,16487.7973935944,12.24958992,3.81258988380432,1228.00231934,0.533869922161102,0.23,Europe & Central Asia,High income
IDN,Indonesia,0.713,4024.91225288391,8.556509972,0.863943349575907,127.44384766,0.436147511005402,0.439,East Asia & Pacific,Upper middle income
IND,India,0.644,2098.2112447615,6.570700169,4.09865814174589,81.50888824,0.369541674852371,0.437,South Asia,Lower middle income
IRL,Ireland,0.95,97793.5366671697,11.6569568,,6407.92333984,1.5485702753067,0.072,Europe & Central Asia,High income
IRN,Iran (Islamic Republic of),0.78,5465.31447539413,10.74618321,2.6699800491333,250.23272705,-0.882911622524261,0.484,Middle East & North Africa,Upper middle income
IRQ,Iraq,0.673,4412.99733146512,6.811878947,,283.17074585,-1.30276036262512,0.562,Middle East & North Africa,Upper middle income
ISL,Iceland,0.959,57606.8756094882,13.76716995,7.28923988342285,6851.62939453,1.5629870891571,0.039,Europe & Central Asia,High income
ISR,Israel,0.915,42516.3888090274,13.44279092,5.93496990203857,4107.72998047,1.23610758781433,0.092,Middle East & North Africa,High income
ITA,Italy,0.906,33891.8866526216,10.7401104,4.0698299407959,3154.57104492,0.448645293712616,0.057,Europe & Central Asia,High income
JAM,Jamaica,0.706,5965.46127464873,9.248188719,5.35435009002685,521.12023926,0.603865921497345,0.35,Latin America & Caribbean,Upper middle income
JOR,Jordan,0.736,3909.80228869045,10.44668007,3.15300011634827,334.387146,0.1941107660532,0.449,Middle East & North Africa,Lower middle income
JPN,Japan,0.92,36238.3294895302,12.66923046,,4201.79248047,1.61941540241241,0.078,East Asia & Pacific,High income
KAZ,Kazakhstan,0.802,11058.3482413407,12.43337895,4.36185360851405,421.60028076,0.142756044864655,0.177,Europe & Central Asia,Upper middle income
KEN,Kenya,0.601,1747.53198804428,7.686359882,4.51101801829815,91.18416595,-0.329533219337463,0.533,Sub-Saharan Africa,Lower middle income
KGZ,Kyrgyzstan,0.701,1212.17812721768,11.96131992,7.16884382244099,88.07954407,-0.890511035919189,0.345,Europe & Central Asia,Lower middle income
KHM,Cambodia,0.6,2011.27433313262,5.197100163,1.95793279576416,103.89541626,-0.351413905620575,0.486,East Asia & Pacific,Lower middle income
KIR,Kiribati,0.628,1948.24312238625,9.128581569,14.7860312820513,217.68276978,0.166980341076851,,East Asia & Pacific,Lower middle income
KNA,Saint Kitts and Nevis,0.838,21050.758653729,10.8494008,3.5579615526858,1161.22058105,0.391751825809479,,Latin America & Caribbean,High income
KOR,Korea (Republic of),0.929,35809.0138105144,12.61409234,5.81446981430054,3078.55151367,1.34904730319977,0.062,East Asia & Pacific,High income
KWT,Kuwait,0.847,26579.8321646876,7.441742908,6.58236499988891,1683.39929199,0.1114886328578,0.199,Middle East & North Africa,High income
LAO,Lao People's Democratic Republic,0.62,2589.05015191628,5.94697053,1.46083440434069,41.34779739,-0.597129583358765,0.467,East Asia & Pacific,Lower middle income
LBN,Lebanon,0.723,5909.03651555028,8.602969077,1.33151427628711,230.39093018,-1.45929002761841,0.365,Middle East & North Africa,Lower middle income
LBR,Liberia,0.487,638.005183858289,5.318104412,2.2760960068702,100.49607086,-1.43107986450195,0.656,Sub-Saharan Africa,Low income
LBY,Libya,0.746,7002.68189296358,7.77860643,,284.0262146,-1.75577163696289,0.266,Middle East & North Africa,Upper middle income
LCA,Saint Lucia,0.725,11224.2899455738,8.576973425,4.64235019683838,622.07244873,-0.0973235219717026,0.347,Latin America & Caribbean,Upper middle income
LKA,Sri Lanka,0.78,4033.14561476298,11.24960995,1.20397218661186,130.09327698,-0.391961753368378,0.376,South Asia,Lower middle income
LSO,Lesotho,0.521,967.51928598325,7.545058784,,133.32562256,-0.887993335723877,0.552,Sub-Saharan Africa,Lower middle income
LTU,Lithuania,0.879,18884.5152531698,13.49810028,4.25285005569458,1831.27734375,0.993961572647095,0.098,Europe & Central Asia,High income
LUX,Luxembourg,0.927,107467.187082637,12.9600811,3.70599007606506,7022.62695313,1.77222788333893,0.043,Europe & Central Asia,High income
LVA,Latvia,0.879,16421.3748596,13.33330305,4.31920003890991,1642.47131348,0.69153767824173,0.142,Europe & Central Asia,High income
MAR,Morocco,0.698,3334.91162109375,6.05,5.91224674061277,201.81098938,-0.0818562060594559,0.44,Middle East & North Africa,Lower middle income
MDA,Moldova (Republic of),0.763,3611.95484733286,11.8338152,6.11053991317749,394.42373657,-0.307596892118454,0.156,Europe & Central Asia,Upper middle income
MDG,Madagascar,0.487,438.516263353189,4.592520237,3.06772823003204,15.85809231,-0.972033023834229,0.574,Sub-Saharan Africa,Low income
MDV,Maldives,0.762,10939.9963271738,7.762392544,4.67344315449896,883.91467285,-0.107565149664879,0.328,South Asia,Upper middle income
MEX,Mexico,0.781,10013.2479236143,9.221050262,4.0658597946167,650.97070313,-0.281723529100418,0.352,Latin America & Caribbean,Upper middle income
MHL,Marshall Islands,0.731,5591.46421459004,12.81836718,7.70088005065918,859.050354,0.226975664496422,,East Asia & Pacific,Upper middle income
MKD,North Macedonia,0.765,6250.62720952063,10.22815037,,561.69281006,-0.0813848301768303,0.134,Europe & Central Asia,Upper middle income
MLI,Mali,0.41,877.817842432934,1.626710057,4.04512227529275,31.0949192,-1.1489531993866,0.607,Sub-Saharan Africa,Low income
MLT,Malta,0.915,31430.6187070236,12.21026039,4.71973991394043,3362.42382813,0.804084479808807,0.117,Middle East & North Africa,High income
MMR,Myanmar,0.608,1174.76697947364,6.518157697,,57.96875763,-1.68502449989319,0.479,East Asia & Pacific,Lower middle income
MNE,Montenegro,0.844,7773.60323941511,12.61621288,,1032.91149902,-0.0274766758084297,0.114,Europe & Central Asia,Upper middle income
MNG,Mongolia,0.741,4205.88554513551,9.423700333,,448.24212646,-0.424924910068512,0.297,East Asia & Pacific,Upper middle income
MOZ,Mozambique,0.461,596.058889461466,3.860090017,5.97607342054314,47.69813538,-0.73704868555069,0.477,Sub-Saharan Africa,Low income
MRT,Mauritania,0.54,1576.75624107308,4.754063344,1.38966000080109,91.54125977,-0.725075662136078,0.603,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,0.796,10688.4383112722,9.992049863,4.84085988998413,590.91522217,0.766172587871552,0.369,Sub-Saharan Africa,Upper middle income
MWI,Malawi,0.508,560.635759714941,5.243740082,2.74888371105811,40.03453827,-0.853226065635681,0.579,Sub-Saharan Africa,Low income
MYS,Malaysia,0.807,11191.6511756943,10.74828052,3.49933781956284,458.21963501,0.992667615413666,0.202,East Asia & Pacific,Upper middle income
NAM,Namibia,0.61,3905.55135268164,7.243458294,9.3919470845238,418.53683472,0.0692832469940186,0.45,Sub-Saharan Africa,Lower middle income
NER,Niger,0.394,566.797962983866,1.341352433,3.71231832079626,26.50681686,-0.627598226070404,0.609,Sub-Saharan Africa,Low income
NGA,Nigeria,0.548,2254.29080416892,7.585969925,0.348516707890877,89.62958527,-1.04151690006256,0.677,Sub-Saharan Africa,Lower middle income
NIC,Nicaragua,0.669,2175.73899144405,7.26,3.80001496174069,208.56825256,-1.03687942028046,0.397,Latin America & Caribbean,Lower middle income
NLD,Netherlands,0.946,51777.5431588864,12.58162975,5.17918014526367,5967.90429688,1.57889866828918,0.025,Europe & Central Asia,High income
NOR,Norway,0.966,79620.1635455079,13.06234279,5.45586013793945,8692.57617188,1.94172024726868,0.012,Europe & Central Asia,High income
NPL,Nepal,0.601,1113.55462341223,4.485598758,4.13645081690396,87.34230042,-0.918098270893097,0.495,South Asia,Lower middle income
NRU,Nauru,0.696,8498.6998601243,9.247975,5.91827971698113,2264.07055664,0.19847996532917,,East Asia & Pacific,High income
