country_code,country,gdp_per_capita,education_expenditure_pct_gdp,health_expenditure_per_capita
IRL,Ireland,97793.5366671697,,6407.92333984
IRN,Iran (Islamic Republic of),5465.31447539413,2.6699800491333,250.23272705
IRQ,Iraq,4412.99733146512,,283.17074585
ISL,Iceland,57606.8756094882,7.28923988342285,6851.62939453
ISR,Israel,42516.3888090274,5.93496990203857,4107.72998047
ITA,Italy,33891.8866526216,4.0698299407959,3154.57104492
JAM,Jamaica,5965.46127464873,5.35435009002685,521.12023926
JOR,Jordan,3909.80228869045,3.15300011634827,334.387146
JPN,Japan,36238.3294895302,,4201.79248047
KAZ,Kazakhstan,11058.3482413407,4.36185360851405,421.60028076
KEN,Kenya,1747.53198804428,4.51101801829815,91.18416595
KGZ,Kyrgyzstan,1212.17812721768,7.16884382244099,88.07954407
KHM,Cambodia,2011.27433313262,1.95793279576416,103.89541626
KIR,Kiribati,1948.24312238625,14.7860312820513,217.68276978
KNA,Saint Kitts and Nevis,21050.758653729,3.5579615526858,1161.22058105
KOR,Korea (Republic of),35809.0138105144,5.81446981430054,3078.55151367
KWT,Kuwait,26579.8321646876,6.58236499988891,1683.39929199
LAO,Lao People's Democratic Republic,2589.05015191628,1.46083440434069,41.34779739
LBN,Lebanon,5909.03651555028,1.33151427628711,230.39093018
LBR,Liberia,638.005183858289,2.2760960068702,100.49607086
LBY,Libya,7002.68189296358,,284.0262146
LCA,Saint Lucia,11224.2899455738,4.64235019683838,622.07244873
LDC,Least developed countries: UN classification,1067.73895636262,2.89168744551701,47.7666385033873
LIE,Liechtenstein,,,10591.59277344
LKA,Sri Lanka,4033.14561476298,1.20397218661186,130.09327698
LSO,Lesotho,967.51928598325,,133.32562256
LTU,Lithuania,18884.5152531698,4.25285005569458,1831.27734375
LUX,Luxembourg,107467.187082637,3.70599007606506,7022.62695313
LVA,Latvia,16421.3748596,4.31920003890991,1642.47131348
MAC,"China, Macao Special Administrative Region",34000.7134128308,6.05706977844238,
MAR,Morocco,3334.91162109375,5.91224674061277,201.81098938
MCO,Monaco,214359.605825981,1.17105996608734,7674.09814453
MDA,Moldova (Republic of),3611.95484733286,6.11053991317749,394.42373657
MDG,Madagascar,438.516263353189,3.06772823003204,15.85809231
MDV,Maldives,10939.9963271738,4.67344315449896,883.91467285
MEX,Mexico,10013.2479236143,4.0658597946167,650.97070313
MHL,Marshall Islands,5591.46421459004,7.70088005065918,859.050354
MKD,North Macedonia,6250.62720952063,,561.69281006
MLI,Mali,877.817842432934,4.04512227529275,31.0949192
MLT,Malta,31430.6187070236,4.71973991394043,3362.42382813
MMR,Myanmar,1174.76697947364,,57.96875763
MNE,Montenegro,7773.60323941511,,1032.91149902
MNG,Mongolia,4205.88554513551,,448.24212646
MNP,Northern Mariana Islands,19461.8611129744,,
MOZ,Mozambique,596.058889461466,5.97607342054314,47.69813538
MRT,Mauritania,1576.75624107308,1.38966000080109,91.54125977
MUS,Mauritius,10688.4383112722,4.84085988998413,590.91522217
MWI,Malawi,560.635759714941,2.74888371105811,40.03453827
MYS,Malaysia,11191.6511756943,3.49933781956284,458.21963501
NAC,North America,61993.4613265648,4.88021993637085,11924.9482795516
NAM,Namibia,3905.55135268164,9.3919470845238,418.53683472
NER,Niger,566.797962983866,3.71231832079626,26.50681686
NGA,Nigeria,2254.29080416892,0.348516707890877,89.62958527
NIC,Nicaragua,2175.73899144405,3.80001496174069,208.56825256
NLD,Netherlands,51777.5431588864,5.17918014526367,5967.90429688
NOR,Norway,79620.1635455079,5.45586013793945,8692.57617188
NPL,Nepal,1113.55462341223,4.13645081690396,87.34230042
NRU,Nauru,8498.6998601243,5.91827971698113,2264.07055664
NZL,New Zealand,42965.2749754735,5.22557020187378,5138.33789063
OMN,Oman,18792.4460565306,4.30123996734619,712.06097412
OSS,Other small states,12081.4158837591,5.02409982681275,1117.93956877042
PAK,Pakistan,1642.28066974826,1.97300945756988,38.76602173
PAN,Panama,15956.0653932059,3.37781000137329,1572.93017578
PER,Peru,6667.51695632036,3.83315992355347,445.10473633
PHL,Philippines,3577.70136573244,3.57960089528426,182.93432617
PLW,Palau,12820.3765209089,3.57620133415525,2077.734375
PNG,Papua New Guinea,2467.23488790877,0.643376920751815,81.11356354
POL,Poland,17303.64494323,4.31372976303101,1219.29125977
PRI,Puerto Rico,29643.7408907829,3.86129930773508,
PRT,Portugal,22042.8680283647,4.55159997940063,2600.56665039
PRY,Paraguay,6218.19790694162,3.39619994163513,480.02862549
PSE,"Palestine, State of",3099.9609010368,,350.63812256
PSS,Pacific island small states,3635.62681471762,,228.226159867358
PYF,French Polynesia,20160.4994298379,,
QAT,Qatar,64315.6355652952,,1781.50390625
ROU,Romania,12076.3033811896,3.2788200378418,902.2677002
RUS,Russian Federation,10119.0625,4.05402755323777,1082.82104492
RWA,Rwanda,948.413686948024,4.74623012542725,57.83102036
SAU,Saudi Arabia,26706.917926066,,1830.89074707
SDN,Sudan,973.225280761719,,25.75139618
SEN,Senegal,1433.1991875241,5.98753976821899,63.44842529
SGP,Singapore,68218.805333562,2.48891997337341,3902.14428711
SLB,Solomon Islands,1788.61727922057,8.48737829731105,96.74864197
SLE,Sierra Leone,1077.08884538507,4.91130018234253,41.31875229
SLV,El Salvador,4355.96083888359,3.25634002685547,500.20321655
SMR,San Marino,51277.3460993917,2.89753007888794,3874.98535156
SOM,Somalia,460.046226685196,7.21674775437e-06,16.31684875
SRB,Serbia,7862.95387364846,3.08255004882812,843.57733154
SSD,South Sudan,,,48.03352737
SST,Small states,11659.648300767,4.84085988998413,953.147727709784
STP,Sao Tome and Principe,1403.23356704678,5.19392101712613,139.02836609
SUR,Suriname,7081.33357325783,3.43460841988051,344.74603271
SVK,Slovakia,18964.8298400624,4.65508985519409,1642.39208984
SVN,Slovenia,25275.715967757,5.28065013885498,2737.84936523
SWE,Sweden,54304.1877501033,7.31909990310669,6022.39257813
