economy,series,Country,Series,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025
PSE,SH.XPD.CHEX.PC.CD,West Bank and Gaza,Current health expenditure per capita (current US$),317.45007324,314.82254028,364.4173584,350.63812256,345.67965698,,
VIR,SH.XPD.CHEX.PC.CD,Virgin Islands (U.S.),Current health expenditure per capita (current US$),,,,,,,
VNM,SH.XPD.CHEX.PC.CD,Viet Nam,Current health expenditure per capita (current US$),171.15296936,153.10160828,168.09350586,188.22650146,197.19210815,,
VEN,SH.XPD.CHEX.PC.CD,"Venezuela, RB",Current health expenditure per capita (current US$),112.72974396,153.21711731,162.43952942,208.66654968,185.99124146,,
VUT,SH.XPD.CHEX.PC.CD,Vanuatu,Current health expenditure per capita (current US$),112.13746643,125.41011047,142.56698608,136.79508972,143.43753052,,
UZB,SH.XPD.CHEX.PC.CD,Uzbekistan,Current health expenditure per capita (current US$),98.6240387,120.29019165,156.44789124,170.64073181,192.11869812,,
URY,SH.XPD.CHEX.PC.CD,Uruguay,Current health expenditure per capita (current US$),1692.50195313,1432.00463867,1594.98059082,1850.80737305,2076.09423828,,
USA,SH.XPD.CHEX.PC.CD,United States,Current health expenditure per capita (current US$),10550.22070313,11648.49511719,12080.07324219,12586.19628906,13473.19335938,,
GBR,SH.XPD.CHEX.PC.CD,United Kingdom,Current health expenditure per capita (current US$),4260.03222656,4865.97802734,5645.40136719,5111.81738281,5407.17041016,5860.23925781,
ARE,SH.XPD.CHEX.PC.CD,United Arab Emirates,Current health expenditure per capita (current US$),1962.46728516,2154.41113281,2249.96313477,2240.9050293,2401.52026367,,
UKR,SH.XPD.CHEX.PC.CD,Ukraine,Current health expenditure per capita (current US$),242.81388855,265.07846069,369.90487671,,,,
UGA,SH.XPD.CHEX.PC.CD,Uganda,Current health expenditure per capita (current US$),33.36559677,44.73381805,51.03484726,44.47286224,45.21318436,,
TUV,SH.XPD.CHEX.PC.CD,Tuvalu,Current health expenditure per capita (current US$),1138.82617188,899.59460449,1122.39929199,1300.46679688,1723.56542969,,
TCA,SH.XPD.CHEX.PC.CD,Turks and Caicos Islands,Current health expenditure per capita (current US$),,,,,,,
TKM,SH.XPD.CHEX.PC.CD,Turkmenistan,Current health expenditure per capita (current US$),432.78118896,420.0083313,471.86325073,579.15454102,581.38220215,,
TUR,SH.XPD.CHEX.PC.CD,Turkiye,Current health expenditure per capita (current US$),388.67486572,386.2593689,431.33978271,385.87997437,547.8145752,,
TUN,SH.XPD.CHEX.PC.CD,Tunisia,Current health expenditure per capita (current US$),212.60031128,250.40145874,285.25247192,276.46380615,317.70983887,,
TTO,SH.XPD.CHEX.PC.CD,Trinidad and Tobago,Current health expenditure per capita (current US$),1097.20556641,1059.72583008,1170.93859863,1266.28820801,1276.33862305,,
TON,SH.XPD.CHEX.PC.CD,Tonga,Current health expenditure per capita (current US$),266.68792725,262.55459595,348.79745483,382.79116821,357.54415894,,
TGO,SH.XPD.CHEX.PC.CD,Togo,Current health expenditure per capita (current US$),48.85387421,52.75213242,52.72237015,55.79545593,59.60503769,,
TLS,SH.XPD.CHEX.PC.CD,Timor-Leste,Current health expenditure per capita (current US$),78.01346588,118.49451447,132.07870483,174.91529846,144.21452332,,
THA,SH.XPD.CHEX.PC.CD,Thailand,Current health expenditure per capita (current US$),288.31097412,304.3817749,363.72845459,369.97647095,326.50482178,,
TZA,SH.XPD.CHEX.PC.CD,Tanzania,Current health expenditure per capita (current US$),39.97783661,31.7036171,37.53121185,35.93323135,36.25619888,,
TJK,SH.XPD.CHEX.PC.CD,Tajikistan,Current health expenditure per capita (current US$),60.51568222,74.17329407,75.10315704,78.61326599,85.14702606,,
SYR,SH.XPD.CHEX.PC.CD,Syrian Arab Republic,Current health expenditure per capita (current US$),55.2208252,37.03173065,53.4726181,53.26486588,33.34017944,,
CHE,SH.XPD.CHEX.PC.CD,Switzerland,Current health expenditure per capita (current US$),9609.80273438,10294.578125,11197.76464844,10930.13964844,11783.66992188,,
SWE,SH.XPD.CHEX.PC.CD,Sweden,Current health expenditure per capita (current US$),5688.04492188,6030.53271484,6894.20166016,6022.39257813,6206.23046875,6484.76464844,
SUR,SH.XPD.CHEX.PC.CD,Suriname,Current health expenditure per capita (current US$),588.83825684,409.86743164,270.37786865,344.74603271,297.04589844,,
SDN,SH.XPD.CHEX.PC.CD,Sudan,Current health expenditure per capita (current US$),31.79406929,22.91861534,21.69141006,25.75139618,21.0830822,,
VCT,SH.XPD.CHEX.PC.CD,St. Vincent and the Grenadines,Current health expenditure per capita (current US$),372.05615234,406.3571167,454.784729,437.94085693,469.20709229,,
MAF,SH.XPD.CHEX.PC.CD,St. Martin (French part),Current health expenditure per capita (current US$),,,,,,,
LCA,SH.XPD.CHEX.PC.CD,St. Lucia,Current health expenditure per capita (current US$),506.03204346,589.63696289,654.8918457,622.07244873,641.07495117,,
KNA,SH.XPD.CHEX.PC.CD,St. Kitts and Nevis,Current health expenditure per capita (current US$),1224.18933105,1067.84997559,1132.58447266,1161.22058105,1294.88391113,,
LKA,SH.XPD.CHEX.PC.CD,Sri Lanka,Current health expenditure per capita (current US$),147.01193237,159.71383667,202.75497437,130.09327698,134.23654175,,
ESP,SH.XPD.CHEX.PC.CD,Spain,Current health expenditure per capita (current US$),2756.62109375,2942.41943359,3188.8515625,2948.61474609,3106.62011719,,
SSD,SH.XPD.CHEX.PC.CD,South Sudan,Current health expenditure per capita (current US$),35.18021774,47.40253067,34.78803635,48.03352737,72.75582886,,
ZAF,SH.XPD.CHEX.PC.CD,South Africa,Current health expenditure per capita (current US$),538.80438232,503.46759033,592.9465332,570.48028564,536.58843994,,
SOM,SH.XPD.CHEX.PC.CD,"Somalia, Fed. Rep.",Current health expenditure per capita (current US$),12.99074364,12.79912567,15.01879692,16.31684875,22.37065506,,
SLB,SH.XPD.CHEX.PC.CD,Solomon Islands,Current health expenditure per capita (current US$),98.67025757,100.99560547,98.80261993,96.74864197,111.35532379,,
SVN,SH.XPD.CHEX.PC.CD,Slovenia,Current health expenditure per capita (current US$),2219.09790039,2417.20874023,2779.56591797,2737.84936523,3037.7644043,3370.53076172,
SVK,SH.XPD.CHEX.PC.CD,Slovak Republic,Current health expenditure per capita (current US$),1342.07580566,1393.62438965,1684.51550293,1642.39208984,1813.46618652,,
SXM,SH.XPD.CHEX.PC.CD,Sint Maarten (Dutch part),Current health expenditure per capita (current US$),,,,,,,
SGP,SH.XPD.CHEX.PC.CD,Singapore,Current health expenditure per capita (current US$),2924.24707031,3541.36450195,4050.81054688,3902.14428711,3921.60253906,,
SLE,SH.XPD.CHEX.PC.CD,Sierra Leone,Current health expenditure per capita (current US$),48.13619995,47.8861618,44.90049362,41.31875229,35.76205063,,
SYC,SH.XPD.CHEX.PC.CD,Seychelles,Current health expenditure per capita (current US$),675.47839355,670.88684082,629.85974121,707.34448242,766.28778076,,
SRB,SH.XPD.CHEX.PC.CD,Serbia,Current health expenditure per capita (current US$),641.04754639,670.03564453,889.09753418,843.57733154,983.69372559,,
SEN,SH.XPD.CHEX.PC.CD,Senegal,Current health expenditure per capita (current US$),64.33670807,75.16521454,71.12162781,63.44842529,73.22670746,,
SAU,SH.XPD.CHEX.PC.CD,Saudi Arabia,Current health expenditure per capita (current US$),1504.55249023,1574.70068359,1654.74353027,1830.89074707,1825.2545166,,
STP,SH.XPD.CHEX.PC.CD,Sao Tome and Principe,Current health expenditure per capita (current US$),106.86884308,159.84396362,187.06524658,139.02836609,171.05166626,,
SMR,SH.XPD.CHEX.PC.CD,San Marino,Current health expenditure per capita (current US$),3801.21044922,3758.609375,4033.1027832,3874.98535156,3923.5234375,,
WSM,SH.XPD.CHEX.PC.CD,Samoa,Current health expenditure per capita (current US$),242.91064453,252.77748108,285.65393066,259.95404053,292.81085205,,
RWA,SH.XPD.CHEX.PC.CD,Rwanda,Current health expenditure per capita (current US$),39.81322098,45.15266418,51.64677429,57.83102036,52.65630722,,
RUS,SH.XPD.CHEX.PC.CD,Russian Federation,Current health expenditure per capita (current US$),650.47058105,814.94451904,881.74395752,1082.82104492,1003.33166504,,
ROU,SH.XPD.CHEX.PC.CD,Romania,Current health expenditure per capita (current US$),738.5581665,809.58880615,963.01287842,902.2677002,1050.99755859,,
QAT,SH.XPD.CHEX.PC.CD,Qatar,Current health expenditure per capita (current US$),2007.51525879,1967.15197754,1847.00231934,1781.50390625,1804.35424805,,
PRI,SH.XPD.CHEX.PC.CD,Puerto Rico (US),Current health expenditure per capita (current US$),,,,,,,
PRT,SH.XPD.CHEX.PC.CD,Portugal,Current health expenditure per capita (current US$),2209.50219727,2328.35571289,2764.04296875,2600.56665039,2762.26293945,2971.03930664,
POL,SH.XPD.CHEX.PC.CD,Poland,Current health expenditure per capita (current US$),1014.03820801,1025.98486328,1183.30236816,1219.29125977,1577.98168945,2014.12780762,
PHL,SH.XPD.CHEX.PC.CD,Philippines,Current health expenditure per capita (current US$),141.6925354,166.61218262,208.192276,182.93432617,194.05484009,,
PER,SH.XPD.CHEX.PC.CD,Peru,Current health expenditure per capita (current US$),367.98739624,399.13800049,455.3560791,445.10473633,445.52667236,,
PRY,SH.XPD.CHEX.PC.CD,Paraguay,Current health expenditure per capita (current US$),416.84432983,411.81765747,480.11322021,480.02862549,526.5098877,,
PNG,SH.XPD.CHEX.PC.CD,Papua New Guinea,Current health expenditure per capita (current US$),59.89566803,55.92817688,61.02529907,81.11356354,85.15021515,,
PAN,SH.XPD.CHEX.PC.CD,Panama,Current health expenditure per capita (current US$),1339.45153809,1358.4498291,1417.1541748,1572.93017578,1557.81286621,,
PLW,SH.XPD.CHEX.PC.CD,Palau,Current health expenditure per capita (current US$),1928.91564941,1938.33837891,1931.31152344,2077.734375,1683.8458252,,
PAK,SH.XPD.CHEX.PC.CD,Pakistan,Current health expenditure per capita (current US$),36.01374817,36.9091301,42.79639816,38.76602173,30.48608398,,
OMN,SH.XPD.CHEX.PC.CD,Oman,Current health expenditure per capita (current US$),730.08325195,859.24987793,843.01953125,712.06097412,732.04089355,,
NOR,SH.XPD.CHEX.PC.CD,Norway,Current health expenditure per capita (current US$),8007.35546875,7824.57714844,9163.13867188,8692.57617188,8296.35546875,,
