Unnamed: 0,Unnamed: 1,Value,Unnamed: 3,Rank,Unnamed: 5,"(deaths per 100,000 live births)",Unnamed: 7,"(births per 1,000 women ages 15–19)",Unnamed: 9,(% held by women),Unnamed: 11,(% ages 25 and older),Unnamed: 13,Unnamed: 14,Unnamed: 15,(% ages 15 and older),Unnamed: 17,Unnamed: 18,Unnamed: 19
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
189,Niger,0.609,,154,,441.0725479,,168.04,,25.90361446,,2.578340428,c,4.483989669,c,64.56,,96.49,
191,Central African Republic,..,,..,,835.266007,,158.998,,12.85714286,,14.2,,31.8,,..,,..,
192,South Sudan,..,,..,,1222.530912,,97.418,,32.33438486,,26.53763962,q,36.35723877,q,..,,..,
193,Somalia,0.674,,164,,620.6823212,,116.067,,20.73170732,,4.449260235,,17.77499962,,22.32,,49.31,
,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,106.7004831,,2.447,,17.61280932,,..,,..,,..,,..,
,Monaco,..,,..,,..,,6.929,,33.33333333,,..,,..,,39.51,,56.61,
,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,
,Very high human development,0.15,,—,,14.753289796976029,,13.523817106574096,,29.286608260079337,,87.7486921115187,,90.05833537852227,,53.95141874170138,,69.36174595768122,
,High human development,0.339,,—,,64.764098186988,,28.67521155999589,,26.023664954086023,,74.0244777179511,,78.43011705675768,,49.76996912761315,,74.16047152185988,
,Medium human development,0.476,,—,,152.31462676736743,,37.7714150303995,,22.956125628713735,,40.5298451585916,,55.631360650069304,,34.18001278861901,,75.71958806742639,
,Low human development,0.579,,—,,496.7309905530344,,88.31965978554673,,23.996465538618914,,21.267804053358027,,31.911791047009928,,50.752734569255225,,77.49500913630197,
,,,,,,,,,,,,,,,,,,,
,Developing countries,0.485,,—,,235.28571416079214,,45.90732208331808,,24.31349265231672,,56.80128243677035,,65.38402555557542,,44.904764623814934,,75.2534038402901,
,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,
,Arab States,0.523,,—,,127.53487591298206,,44.180662734990754,,18.310139165594038,,51.02183736167482,,57.43063418518138,,19.85668859750423,,70.17321105055166,
,East Asia and the Pacific,0.34,,—,,78.48547084557788,,21.402489962928637,,21.010435224855943,,72.53284068801098,,79.03947561487236,,53.993367188022326,,75.41559631867885,
,Europe and Central Asia,0.224,,—,,20.622742923596938,,19.534608071899953,,26.012512348432665,,83.74882823978821,,89.899224745063,,45.38850278239803,,69.59163480165996,
,Latin America and the Caribbean,0.386,,—,,85.2677138189445,,52.33621945682923,,34.10083366373005,,64.35982983714895,,64.20258269850966,,51.625204249104286,,75.30137429590214,
,South Asia,0.478,,—,,131.72765540390603,,27.911505995686706,,17.930079612354447,,40.90305962267176,,55.677276535871485,,28.11005464266656,,76.30795120027328,
,Sub-Saharan Africa,0.565,,—,,515.6851735780288,,99.26210541546452,,26.360215599845315,,30.864416999062783,,42.04596716374888,,63.919192294145795,,76.42898137105387,
,,,,,,,,,,,,,,,,,,,
,Least developed countries,0.556,,—,,354.2928030363114,,92.39423440300165,,25.080086803321898,,23.42795846983116,,33.82215499823673,,50.42829364298274,,75.49579831428643,
,Small island developing states,0.457,,—,,203.28895593759256,,50.589370973053306,,26.96502444484393,,58.83911844652016,,62.328099316970494,,51.382996059674554,,69.80404739839632,
,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.194,,—,,21.349652200444787,,18.547722013408688,,32.65811040623087,,86.71055908701629,,89.32364406478395,,53.0161257154029,,68.68438084138731,
,,,,,,,,,,,,,,,,,,,
